"","V1","Valor p bruto","Valor p ajustado"
"SNP7",126.255129895851,5.60275425143805e-20,1.68082627543141e-18
"SNP1",120.197731566255,1.49654733284131e-21,4.48964199852394e-20
"SNP4",105.869857384975,4.71030600662352e-15,1.41309180198706e-13
"SNP8",94.1802361375473,2.20739588362185e-06,6.62218765086554e-05
"SNP5",83.382481572921,0.00141834143056431,0.0425502429169294
"SNP2",57.4941421322228,0.00287576251291039,0.0862728753873118
"SNP36",15.4021604607306,0.233942061023249,7.01826183069746
"SNP71",13.056332979939,0.0261790188924568,0.785370566773705
"SNP20",8.72577103665964,0.384932910616051,11.5479873184815
"SNP83",7.63699621057289,0.0600499116753377,1.80149735026013
"SNP94",7.278263263436,0.478948323069695,14.3684496920908
"SNP48",6.24377214266363,0.976710337466661,29.3013101239998
"SNP11",5.92033407700211,0.0958661834124333,2.875985502373
"SNP51",5.87728791086258,0.093910163631345,2.81730490894035
"SNP38",4.63412437508422,0.765943940233981,22.9783182070194
"SNP63",4.12167140410803,0.887819534874286,26.6345860462286
"SNP3",4.00280496165804,0.0367829274834249,1.10348782450275
"SNP14",3.79502601794787,0.953639069888856,28.6091720966657
"SNP27",3.39327927370789,0.177215520510732,5.31646561532196
"SNP69",3.23274677413872,0.895660976199079,26.8698292859724
"SNP12",2.92125700079566,0.0152224368571867,0.4566731057156
"SNP40",2.67119933062742,0.473773172948595,14.2131951884578
"SNP93",2.38556761768782,0.854335044397413,25.6300513319224
"SNP91",2.22304793807448,0.710698995922311,21.3209698776693
"SNP44",2.00017546913387,0.332120706706609,9.96362120119826
"SNP23",1.95711295642035,0.182877491320379,5.48632473961138
"SNP6",1.7851661467073,0.0292254236545318,0.876762709635954
"SNP99",1.6493106516827,0.535848908397909,16.0754672519373
"SNP41",1.6190073573157,0.842980744972211,25.2894223491663
"SNP97",1.50437412175775,0.219541298384428,6.58623895153283
