"","V1","Valor p bruto","Valor p ajustado"
"SNP9",153.75040498348,4.25724459444364e-07,1.27717337833309e-05
"SNP7",100.003841767191,0.0192150722519918,0.576452167559753
"SNP8",75.6098168802423,0.522258951190203,15.6677685357061
"SNP3",53.8145346741259,0.0303960925243615,0.911882775730844
"SNP1",16.5161958975592,0.383004319427245,11.4901295828174
"SNP2",16.3374088603143,0.76595333605861,22.9786000817583
"SNP68",9.02766706244818,0.057471338091703,1.72414014275109
"SNP45",7.96055935856827,0.778449867072839,23.3534960121852
"SNP39",6.85958224534656,0.510200871639537,15.3060261491861
"SNP49",6.46643585055971,0.344570150042505,10.3371045012752
"SNP11",6.24453670862751,0.054321179142135,1.62963537426405
"SNP60",6.14453471591008,0.0363551115509314,1.09065334652794
"SNP20",4.64891521083426,0.956771086523408,28.7031325957022
"SNP30",4.28548670815576,0.434977968652497,13.0493390595749
"SNP10",4.05921719074652,0.00590037422422633,0.17701122672679
"SNP40",3.918719427009,0.0491708008129425,1.47512402438827
"SNP83",3.61404120074234,0.130073704750266,3.90221114250798
"SNP51",3.15357835455765,0.255258810576262,7.65776431728785
"SNP98",2.73727676947526,0.97606629990207,29.2819889970621
"SNP22",2.12963464511019,0.926344062387907,27.7903218716372
"SNP27",2.01858178208299,0.847908103201076,25.4372430960323
"SNP79",1.74188696198143,0.748138121815527,22.4441436544658
"SNP85",1.52028366028437,0.87201919984658,26.1605759953974
"SNP76",1.37729608635636,0.903664848568347,27.1099454570504
"SNP32",1.35705027488507,0.438370142964319,13.1511042889296
"SNP18",1.35092831668632,0.914099556303246,27.4229866890974
"SNP12",1.23545864155958,0.368519368890696,11.0555810667209
"SNP4",1.0658096689297,0.467165065573278,14.0149519671984
"SNP70",0.942438668284122,0.735523681820532,22.065710454616
"SNP64",0.882980962762323,0.898796200755938,26.9638860226781
